timestamp,device_name,voltage,current_mA,power_mW,energy_Wh
2025-04-18 00:00:00,AC,5.15,408.59,2104.24,0.03507
2025-04-18 00:01:00,AC,4.86,453.2,2202.55,0.03671
2025-04-18 00:02:00,AC,5.17,621.68,3214.09,0.05357
2025-04-18 00:03:00,AC,5.17,559.36,2891.89,0.0482
2025-04-18 00:04:00,AC,5.01,570.57,2858.56,0.04764
2025-04-18 00:05:00,AC,4.99,562.41,2806.43,0.04677
2025-04-18 00:06:00,AC,5.13,531.37,2725.93,0.04543
2025-04-18 00:07:00,AC,5.17,492.3,2545.19,0.04242
2025-04-18 00:08:00,AC,4.95,444.34,2199.48,0.03666
2025-04-18 00:09:00,AC,5.16,507.81,2620.3,0.04367
2025-04-18 00:10:00,AC,4.99,662.41,3305.43,0.05509
2025-04-18 00:11:00,AC,5.01,404.37,2025.89,0.03376
2025-04-18 00:12:00,AC,5.14,650.17,3341.87,0.0557
2025-04-18 00:13:00,AC,4.98,449.55,2238.76,0.03731
2025-04-18 00:14:00,AC,4.82,638.05,3075.4,0.05126
2025-04-18 00:15:00,AC,4.88,527.02,2571.86,0.04286
2025-04-18 00:16:00,AC,5.1,580.23,2959.17,0.04932
2025-04-18 00:17:00,AC,5.17,419.44,2168.5,0.03614
2025-04-18 00:18:00,AC,4.93,583.3,2875.67,0.04793
2025-04-18 00:19:00,AC,4.87,495.87,2414.89,0.04025
2025-04-18 00:20:00,AC,4.93,553.17,2727.13,0.04545
2025-04-18 00:21:00,AC,5.08,408.47,2075.03,0.03458
2025-04-18 00:22:00,AC,5.19,534.04,2771.67,0.04619
2025-04-18 00:23:00,AC,4.84,553.76,2680.2,0.04467
2025-04-18 00:24:00,AC,4.95,578.27,2862.44,0.04771
2025-04-18 00:25:00,AC,4.84,612.6,2964.98,0.04942
2025-04-18 00:26:00,AC,4.97,461.33,2292.81,0.03821
2025-04-18 00:27:00,AC,4.94,427.56,2112.15,0.0352
2025-04-18 00:28:00,AC,5.0,570.71,2853.55,0.04756
2025-04-18 00:29:00,AC,4.94,610.26,3014.68,0.05024
2025-04-18 00:30:00,AC,5.03,630.09,3169.35,0.05282
2025-04-18 00:31:00,AC,5.1,569.43,2904.09,0.0484
2025-04-18 00:32:00,AC,4.97,528.35,2625.9,0.04377
